사용일자,장소,집 행 액,인원
2022-01-03,오륜정,"39,000",3
2022-01-05,팔선생,"84,000",4
2022-01-06,"브로일링
커피
강동점","20,500",4
2022-01-07,평양만두집,"52,000",4
2022-01-10,"의정부
부대찌개","32,000",4
2022-01-11,방콕．그집,"62,000",4
2022-01-12,선남ｓｅａ,"60,000",4
2022-01-17,"화진포
막국수","24,000",3
2022-01-19,더 온세,"22,500",5
2022-01-20,해도,"84,000",3
2022-01-25,"투썸
플레이스
강동구","34,000",4
2022-01-26,온고식당,"50,000",5
2022-02-03,셀프하우스,"11,500",2
2022-02-04,박리김밥,"46,500",5
2022-02-04,채스우드커피,"26,600",4
2022-02-07,더 온세,"26,000",5
2022-02-07,토팡가,"70,000",4
2022-02-08,포몬스천호점,"120,000",5
2022-02-09,더 온세,"86,000",6
2022-02-14,차이젠,"30,000",3
2022-02-16,영광굴비식당,"63,000",6
2022-02-17,채스우드커피,"69,000",4
2022-02-18,더 온세,"18,500",4
2022-02-23,오륜정,"60,000",3
2022-02-23,오륜정,"35,000",4
2022-02-25,청해진,"55,800",4
2022-02-28,방콕．그집,"79,000",6
2022-03-03,다래성,"120,000",6
2022-03-04,"순창 버들골
추어탕","51,000",4
2022-03-07,아마렐로,"23,500",6
2022-03-07,다래성,"98,500",4
2022-03-11,보 타이,"27,000",2
2022-03-15,엄마밥상,"40,000",5
2022-03-16,더 온세,"97,000",5
2022-03-18,셀프하우스,"20,000",3
2022-03-22,주문진명가,"83,000",7
2022-03-23,전원식당,"40,000",5
2022-03-25,벌스커피,"24,500",6
2022-03-28,"카페지금여기
４５６","26,300",6
2022-03-28,이가양곱창,"58,000",3
2022-03-31,명동찌개마을,"38,000",5
2022-04-01,더 온세,"16,500",4
2022-04-01,오륜정,"39,000",4
2022-04-01,"서울육개장
＆짚불고기","110,000",6
2022-04-04,"큰맘할매
순대국","97,000",5
2022-04-11,카페몽타주,"25,000",6
2022-04-12,어전,"51,000",4
2022-04-13,화진포막국수,"108,000",4
2022-04-14,더 온세,"12,000",3
2022-04-14,해전해물탕,"56,000",4
2022-04-14,방콕．그집,"103,000",5
2022-04-15,통통김치찌개,"34,000",5
2022-04-18,커피로드４６３,"16,500",4
2022-04-19,주문진,"90,000",4
2022-04-19,"친친
（Ｃｉｎｃ
ｉｎ","100,000",5
2022-04-21,황금정,"118,000",4
2022-04-22,명동찌개마을,"58,000",8
2022-04-25,"해브어그린（
Ｈａｖｅ","34,000",4
2022-04-27,수향,"34,000",4
2022-04-28,"마곡닭한마
리 강동직","44,000",4
2022-04-28,어리랑,"150,000",6
2022-05-02,근초밥,"56,000",4
2022-05-04,"친친
（Ｃｉｎｃ
ｉｎ","96,000",6
2022-05-06,카페몽타주,"15,000",4
2022-05-06,"아이갓에브리
띵（Ｉ","23,000",6
2022-05-06,"순창
버들골
추어탕","48,000",4
2022-05-06,"양철북강동구
청점","65,000",6
2022-05-10,더 온세,"22,000",5
2022-05-10,스시꽃피다,"57,000",4
2022-05-11,토팡가,"24,000",6
2022-05-11,"마곡닭한마
리 강동직","115,000",8
2022-05-12,"강동시니어
상담카페","14,500",6
2022-05-12,어전,"81,000",3
2022-05-13,더 온세,"35,500",8
2022-05-16,토팡가,"19,500",5
2022-05-17,더 온세,"33,000",7
2022-05-17,은아식당,"128,000",6
2022-05-18,더 온세,"18,000",4
2022-05-18,"매코미
명품조림","36,000",4
2022-05-18,더 온세,"50,500",5
2022-05-19,주문진,"120,000",6
2022-06-02,토팡가,"13,500",3
2022-06-03,유천냉면,"88,000",6
2022-06-08,타짜,"133,000",7
2022-06-09,"고모네원조
콩탕북어찜","33,000",2
2022-06-09,"（주）학산
테라로사","10,600",2
2022-06-09,"본죽
강동구청점","38,500",4
2022-06-09,돼기업식당,"104,000",5
2022-06-10,주문진명가,"97,000",7
2022-06-13,포몬스천호점,"64,000",6
2022-06-16,붉은산다화,"18,500",5
2022-06-16,편백마을,"87,000",5
2022-06-16,다래성,"60,000",6
2022-06-17,문어천하,"154,000",6
2022-06-17,"파리바게뜨
강동구청점","18,600",3
2022-06-17,오륜정,"70,000",6
2022-06-20,"남한강매운
탕","87,000",8
2022-06-21,맛굼터,"33,000",3
2022-06-21,송강설렁탕,"17,000",2
2022-06-22,더 온세,"18,000",4
2022-06-22,전주감자탕,"18,000",2
2022-06-23,토팡가,"16,000",4
2022-06-23,"파리바게뜨
강동구청점","150,000",6
2022-06-23,"큰맘할매
순대국","127,000",6
2022-06-24,림폴커피,"29,000",7
2022-06-27,"트윈쿠키
（ｔｗｉｎ","47,900",6
2022-06-28,전주감자탕,"18,000",2
2022-06-30,송강설렁탕,"25,000",3
2022-06-30,평양만두집,"64,000",4
2022-07-20,더 온세,"19,000",4
2022-07-20,방콕．그집,"44,000",4
2022-07-21,신라삼계탕,"80,000",5
2022-07-22,오륜정,"39,000",3
2022-07-25,"아이갓에브리
띵（Ｉ","50,000",8
2022-07-26,카페항상,"24,000",6
2022-07-28,먼데이블루스,"30,000",2
2022-07-29,먼데이블루스,"124,000",7
2022-07-01,카페몽타주,"11,000",3
2022-07-01,토팡가,"50,000",7
2022-07-04,"（주）오투
스페이스","49,900",5
2022-07-04,마노스커피,"27,000",5
2022-07-04,더 온세,"121,000",4
2022-07-05,"오플비（Ａ
ｏｆｌｂｅ","25,500",7
2022-07-05,포메인고덕점,"25,500",2
2022-07-05,마노스커피,"70,000",8
2022-07-06,"벌스커피（ｖ
ｅｒｓｅ","63,000",8
2022-07-07,"한촌설렁탕（
강동명일","17,000",2
2022-07-08,"아이갓에브리
띵（Ｉ","69,000",4
2022-07-08,와사비,"34,000",2
2022-07-08,마노스커피,"60,000",7
2022-07-11,"한촌설렁탕（
강동명일","36,500",3
2022-07-12,카페몽타주,"20,000",5
2022-07-13,"（주）오투
스페이스","32,900",3
2022-07-14,토팡가,"19,500",4
2022-07-14,토팡가,"19,200",4
2022-07-15,더 온세,"31,000",6
2022-07-19,"박대감황금
돈가","69,000",3
2022-08-02,"의정부
부대찌개","32,000",3
2022-08-05,오륜정,"26,000",2
2022-08-05,채선당,"186,000",8
2022-08-17,카페몽타주,"7,500",2
2022-08-23,카페몽타주,"20,500",5
2022-08-24,더 온세,"18,000",4
2022-08-24,방콕．그집,"44,000",4
2022-08-26,"대관령
두부마을","57,000",5
2022-08-29,더 온세,"50,000",5
2022-08-30,"오플비（Ａ
ｏｆｌｂｅ","24,000",8
2022-08-31,더 온세,"23,000",5
2022-09-01,카페몽타주,"10,500",3
2022-09-02,"카페지금여기
４５６","15,900",3
2022-09-02,코페이,"43,000",5
2022-09-05,아쿠아마트,"84,000",6
2022-09-05,아쿠아마트,"56,000",5
2022-09-06,어전,"189,000",7
2022-09-08,토팡가,"16,000",4
2022-09-13,토팡가,"25,000",6
2022-09-14,"서울진우동덮
밥","51,200",4
2022-09-15,카페몽타주,"16,000",4
2022-09-15,오륜정,"65,000",5
2022-09-15,"비사벌
전주콩나물국","40,000",5
2022-09-16,"주식회사
브랜뉴하이","26,250",4
2022-09-19,"브로일링커피
강동점","40,300",8
2022-09-19,바비베이글,"14,300",3
2022-09-20,"지호한방삼계
탕","34,000",3
2022-09-21,오륜정,"50,000",3
2022-09-21,포르마레,"13,000",3
2022-09-21,"카페
트리플러스","11,000",3
2022-09-22,"보 타이
（Ｂｏ Ｔ","78,000",5
2022-09-23,화진포막국수,"118,500",7
2022-09-28,더 온세,"38,500",8
2022-09-28,라라브레드,"25,600",4
2022-09-29,성내굼터,"34,000",4
2022-09-29,"흑돼지생고기
구이","142,000",5
2022-10-21,먼데이블루스,"58,000",4
2022-10-24,소담,"24,000",3
2022-10-27,토팡가,"16,000",4
2022-10-27,순정키친,"33,900",4
2022-10-28,아마렐로,"13,500",4
2022-10-28,"파리크라상
키친올림픽","98,000",7
2022-10-28,더 온세,"87,000",8
2022-10-31,전주가,"53,000",6
2022-10-04,카츠탐,"31,000",3
2022-10-05,"가마솥밥
명품추어탕","20,000",2
2022-10-06,토팡가,"12,500",3
2022-10-06,토팡가,"25,000",5
2022-10-07,오륜정,"22,000",2
2022-10-11,토팡가,"22,000",4
2022-10-12,"셰프의
돈까스","43,000",4
2022-10-12,"방이샤브샤
브칼국수","62,000",7
2022-10-13,신단설렁탕,"45,000",4
2022-10-14,행복한식탁,"48,000",5
2022-10-17,"브로일링커피
강동점","29,500",6
2022-10-18,방콕．그집,"32,000",3
2022-10-18,"버거킹
길동사거리점","23,700",3
2022-10-18,"전광수커피
에스프레소","11,100",3
2022-10-18,키츠네,"26,000",3
2022-10-19,소담,"47,000",5
2022-10-19,해전해물탕,"75,000",5
2022-10-19,카페항상,"17,500",4
2022-10-20,"뚝배기
손칼국수","32,000",4
2022-10-20,묵호,"160,000",5
2022-10-20,"송강제면소
강동구청","40,000",5
2022-10-21,"토담골
멸치국수","22,000",3
2022-11-17,묵호,"28,000",4
2022-11-18,카페항상,"45,000",6
2022-11-18,묵호,"56,000",4
2022-11-21,온누리마트,"65,000",8
2022-11-21,묵호,"100,000",6
2022-11-22,벌스커피,"25,500",6
2022-11-22,오륜정,"39,000",3
2022-11-23,"의정부
부대찌개","24,000",3
2022-11-24,벌스커피,"17,500",4
2022-11-24,통통김치찌개,"50,000",4
2022-11-24,카페항상,"55,000",7
2022-11-25,해브어그린,"15,500",2
2022-11-25,묵호,"53,000",4
2022-11-28,"장터순대국
감자탕","36,000",4
2022-11-29,카페항상,"23,500",5
2022-11-29,타짜,"70,000",5
2022-11-29,방콕．그집,"120,000",6
2022-11-30,더 온세,"34,500",7
2022-11-30,선남ｓｅａ,"160,000",8
2022-11-01,방콕．그집,"32,000",3
2022-11-02,더 온세,"18,000",4
2022-11-02,"아이갓
에브리띵","50,000",6
2022-11-03,"마곡
닭한마리","60,000",4
2022-11-04,참치락,"91,000",6
2022-11-07,카페몽타주,"16,000",4
2022-11-08,"아이갓
에브리띵","61,000",6
2022-11-08,명동찌개마을,"104,000",7
2022-11-09,오륜정,"52,000",4
2022-11-09,카페항상,"55,000",8
2022-11-10,타짜,"92,000",6
2022-11-10,해브어그린,"46,000",6
2022-11-11,"아이갓
에브리띵","43,000",8
2022-11-11,"양철북
강동구청점","80,500",7
2022-11-14,참치락,"59,000",4
2022-11-14,"파리바게뜨
강동구청점","81,300",9
2022-11-14,묵호,"98,000",7
2022-11-15,묵호,"91,000",7
2022-11-16,팔선생,"65,000",5
2022-11-16,"아이갓
에브리띵","20,860",3
2022-11-17,"영커피
강동구청점","17,000",5
2022-11-17,"홍콩반점０
４１０ 강","98,000",7
2022-12-26,스시꽃피다,"34,000",3
2022-12-26,이쁜연어,"50,800",4
2022-12-28,어전,"178,000",9
2022-12-01,선남sea,"40,000",4
2022-12-01,"큰맘할매
순대국","101,000",6
2022-12-02,더온세,"62,000",7
2022-12-02,"의정부부대
찌개","40,000",5
2022-12-02,"스타벅스
코리아","28,600",5
2022-12-05,메차쿠차,"37,000",4
2022-12-06,카페항상,"71,000",6
2022-12-07,"교촌치킨
성내점","47,000",4
2022-12-08,통통김치찌개,"31,000",3
2022-12-09,"의정부부대
찌개","16,000",2
2022-12-09,고석정,"185,000",7
2022-12-13,태양옥김빠,"92,500",7
2022-12-13,카페항상,"79,740",8
2022-12-15,고석정,"183,000",7
2022-12-15,아마렐로,"21,500",7
2022-12-15,어전,"72,000",4
2022-12-15,더 온세,"101,400",8
2022-12-16,"방콕, 그집","43,000",3
2022-12-16,스시꽃피다,"108,500",7
2022-12-19,내일또오리,"90,000",4
2022-12-19,온누리마트,"14,100",3
2022-12-20,수라연,"147,000",7
2022-12-22,스시꽃피다,"68,000",4
2022-12-22,카페몽타주,"31,000",6
2022-12-23,"큰맘할매
순대국","32,850",4
