사용일자,사용장소,사용금액,대상인원
2022.01.06,정라진,"45,000",3
2022.01.07,평양면옥,"82,000",4
2022.01.10,주유소,"42,000",4
2022.01.11,명품을지순대국,"24,000",3
2022.01.12,윤가네의정부부대찌게,"39,000",4
2022.01.18,우래옥,"42,000",3
2022.01.19,명품을지순대국,"33,000",3
2022.01.20,설규 사시미엔스시,"116,000",4
2022.01.24,주유소,"34,000",3
2022.01.25,자성화,"38,000",3
2022.01.27,황토골,"96,000",5
2022.01.28,VIPS제일제당센터점,"126,990",6
2022.02.03,오장갈비,"98,000",6
2022.02.03,이디야 오장동점,"21,200",6
2022.02.04,하동관,"45,000",3
2022.02.07,주유소,"48,000",4
2022.02.08,남대문손칼국수,"35,500",4
2022.02.09,해남낙지,"150,000",6
2022.02.11,낙원정,"150,000",6
2022.02.11,낙원정,"100,000",4
2022.02.15,오장갈비,"97,000",6
2022.02.15,오장갈비,"100,000",5
2022.02.16,5gil7,"148,400",6
2022.02.23,맛나손칼국수,"47,000",4
2022.02.25,을지수제비,"34,000",3
2022.03.02,자성화맛집코다리네,"49,000",4
2022.03.03,아웃백 동대문점,"150,000",6
2022.03.04,윤가네의정부부대찌게,"36,000",4
2022.03.08,VIPS제일제당센터점,"118,270",5
2022.03.10,우래옥,"56,000",4
2022.03.11,윤가네의정부부대찌게,"54,000",6
2022.03.15,우촌명가 숯불구이,"108,000",6
2022.03.18,고씨네고추장찌개,"42,600",4
2022.03.21,오장갈비,"64,000",4
2022.03.22,참숯불구이,"56,000",4
2022.03.23,오발탄,"62,000",5
2022.03.25,유빈왕돈까스,"16,000",2
2022.03.28,맛있는집,"64,000",4
2022.03.29,제주은희네해장국,"46,000",5
2022.03.30,주유소식당,"52,000",4
2022.03.31,참숯불구이,"37,000",3
2022.04.01,오발탄,"145,000",8
2022.04.04,목포독천낙지,"96,000",6
2022.04.05,골목식당,"40,000",4
2022.04.06,군산집,"38,000",4
2022.04.07,빠우,"24,000",4
2022.04.13,우촌명가 숯불구이,"40,000",3
2022.04.14,VIPS 제일제당센터점,"84,660",4
2022.04.18,정라진,"41,000",4
2022.04.19,주유소식당,"42,000",4
2022.04.20,윤가네의정부부대찌게,"40,000",4
2022.04.22,퍼퓰러,"47,500",4
2022.04.25,존라멘,"53,500",5
2022.04.25,황토골,"16,000",2
2022.04.26,주유소식당,"42,000",4
2022.04.28,주유소식당,"42,000",4
2022.05.02,유빈왕돈까스,"17,000",2
2022.05.09,한라참치,"60,000",4
2022.05.09,동방명주,"91,000",6
2022.05.10,이멜다분식,"47,000",4
2022.05.11,유빈왕돈까스,"45,500",4
2022.05.13,유빈왕돈까스,"54,000",5
2022.05.18,빠우,"105,000",10
2022.05.19,길목에서,"100,000",6
2022.05.20,빠우,"205,000",26
2022.05.24,춘천막국수,"39,000",4
2022.05.25,알로,"67,000",5
2022.05.26,엘에스씨푸드(중구청카페점),"11,000",5
2022.05.26,봉추찜닭,"33,000",3
2022.05.26,오장갈비,"107,000",8
2022.05.27,유빈왕돈까스,"38,000",4
2022.05.30,이멜다분식,"53,500",5
2022.05.31,유빈왕돈까스,"46,000",5
2022.06.02,VIPS제일제당센터점,"98,260",4
2022.06.07,춘천막국수,"23,000",3
2022.06.08,이멜다분식,"53,000",5
2022.06.16,강서,"59,000",5
2022.06.22,참숯불구이,"37,000",3
2022.06.23,서울카츠,"100,000",6
2022.06.24,오발탄,"84,000",6
2022.06.27,조여사,"31,000",3
2022.06.30,엘에스씨푸드(중구청카페점),"13,000",6
2022.06.30,엘에스씨푸드(중구청카페점),"13,000",6
2022.07.01,피스커피,"33,000",6
2022.07.01,유빈왕돈까스,"71,000",7
2022.07.04,오발탄,"41,000",3
2022.07.05,이멜다분식,"44,500",4
2022.07.07,명인돈까스,"79,500",6
2022.07.08,알로,"84,000",6
2022.07.12,유빈왕돈까스,"29,500",3
2022.07.13,윤가네의정부부대찌게,"62,000",6
2022.07.14,이멜다분식,"39,500",4
2022.07.15,유빈왕돈까스,"25,000",3
2022.07.18,만리향,"21,000",2
2022.07.18,알로,"107,000",8
2022.07.19,오일관광㈜호텔PJ,"58,050",5
2022.07.20,춘천막국수,"48,000",5
2022.07.26,알로,"45,000",4
2022.07.26,던킨왕십리민자역사,"51,850",8
2022.07.29,오발탄,"128,000",8
2022.07.29,휴우,"106,000",6
2022.08.01,윤가네의정부부대찌게,"47,000",4
2022.08.01,윤가네의정부부대찌게,"47,000",4
2022.08.02,유빈왕돈까스,"72,000",6
2022.08.04,만리향,"37,000",4
2022.08.05,유빈왕돈까스,"54,000",5
2022.08.18,송림식당,"53,000",5
2022.08.19,주전자꼬들목,"63,000",4
2022.08.19,보배반점 을지로점,"34,000",3
2022.08.22,오발탄,"113,000",8
2022.08.22,투썸플레이스 충무로역점,"35,700",8
2022.08.23,만리향,"22,000",3
2022.08.24,강서,"123,000",8
2022.08.24,이멜다분식,"61,500",5
2022.08.24,매머드익스프레스 동국대점,"26,700",8
2022.08.26,윤가네의정부부대찌게,"54,000",5
2022.08.29,스시신조,"36,000",3
2022.09.01,스시신조,"36,000",3
2022.09.02,퍼퓰러,"84,500",6
2022.09.07,이멜다분식,"72,000",6
2022.09.08,설규 사시미엔스시,"94,000",7
2022.09.13,VIPS 제일제당센터점,"185,400",7
2022.09.16,퍼퓰러,"22,500",3
2022.09.16,한나식당,"30,000",3
2022.09.19,VIPS 제일제당센터점,"170,520",6
2022.09.20,다래원,"42,000",4
2022.09.21,이멜다분식,"98,500",6
2022.09.21,브라운컬렉션,"19,300",6
2022.09.23,은성부대찌개,"27,000",3
2022.09.27,VIPS 제일제당센터점,"122,060",5
2022.09.28,다래원,"24,000",3
2022.09.30,오발탄,"199,000",8
2022.09.30,만리향,"30,000",3
2022.10.04,오발탄,"43,000",3
2022.10.04,다래원,"30,000",3
2022.10.05,만리향,"38,000",4
2022.10.06,하동관,"45,000",3
2022.10.07,만리향,"24,000",3
2022.10.12,윤가네의정부부대찌게,"61,000",6
2022.10.13,충무로역 파리바게뜨,"22,900",3
2022.10.17,동국대 파리바게뜨,"31,700",4
2022.10.17,동해,"100,000",4
2022.10.18,오장갈비,"153,000",8
2022.10.18,다래원,"27,000",3
2022.10.19,오발탄,"95,000",6
2022.10.19,VIPS제일제당센터점,"474,900",18
2022.10.20,만리향,"32,000",3
2022.10.26,카페베이커리데쏘,"32,000",5
2022.10.27,모내기,"52,000",4
2022.10.28,다래원,"36,000",4
2022.10.31,횟집좋을,"86,000",6
2022.11.01,이멜다분식,"54,500",5
2022.11.07,춘천막국수,"32,000",3
2022.11.09,횟집좋을,"90,000",6
2022.11.14,섬진강,"76,000",6
2022.11.15,양푼이생태.대구탕,"70,000",5
2022.11.17,군산집,"36,000",4
2022.11.17,황토골,"123,000",15
2022.11.18,투썸플레이스 충무로역점,"28,000",4
2022.11.21,㈜애브릿지,"72,000",6
2022.11.24,브라운컬렉션,"28,800",6
2022.11.25,복정집,"33,000",3
2022.11.25,만리향,"26,000",3
2022.11.29,만리향,"37,000",4
2022.11.30,㈜애브릿지,"21,500",3
2022-12-02,현대아울렛 동대문점,"27,500",3
2022-12-05,광희식당,"120,000",8
2022-12-06,성신문화사,"23,500",5
2022-12-06,만리향,"24,000",3
2022-12-06,김삼보,"44,000",5
2022-12-07,SSG.COM,"176,404",26
2022-12-08,(주)애브릿지,"64,000",6
2022-12-09,이멜다분식,"66,500",6
2022-12-12,조방낙지,"80,000",6
2022-12-13,만리향,"35,000",3
2022-12-14,스타벅스 코리아,"21,500",4
2022-12-14,대화정,"36,000",4
2022-12-16,(주)보나비,"320,000",26
2022-12-20,(주)보나비,"260,000",26
2022-12-21,대화정,"44,000",4
2022-12-22,(주)오디푸드시스템,"25,100",26
2022-12-22,조여사,"34,000",3
2022-12-22,레몬마트,"100,000",26
2022-12-22,만리향,"200,000",26
2022-12-23,(주)오디푸드시스템,"277,000",26
2022-12-26,오장갈비,"108,000",6
