"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  2월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상 인원수,금액,결제방법,비목
1,편성 총괄 주무관,2022-02-03 12:12:14,달．달커피（ＤＡＬ．,대외재정 확보 관련 업무추진,4,"17,200",신용카드,시책
2,공공시설 담당 주무관,2022-02-03 12:20:13,훗스테이크   성신여대,공공시설 전산시스템 추진 관련 회의,3,"42,400",신용카드,시책
3,의회 담당 주무관,2022-02-03 19:32:13,고려한방삼계탕,2022. 2. 임시회 관련 업무 추진,4,"49,000",신용카드,시책
4,동북4구 담당 주무관,2022-02-03 11:40:04,전통만두국,동북4구 발전을 위한 공동의제 설정 관련 업무,6,"82,000",신용카드,시책
5,예비비 담당 주무관,2022-02-04 12:12:37,카페온더플랜,예비비 사용 관련 간담회,5,"25,500",신용카드,시책
6,기획팀장,2022-02-04 12:12:36,정가네   정육식당,스마트행정 분야 신규과제 발굴,6,"49,000",신용카드,시책
7,기획재정국장,2022-02-04 20:44:02,끄트머리집   안암점,공공시설 관리 시스템 구축 관련 업무 협의,3,"49,000",신용카드,시책
8,대외재정 담당 주무관,2022-02-04 12:07:54,７２４２０   성신여대,국시비 주요사업 추진 관련 간담회,4,"59,500",신용카드,시책
9,기획예산과장,2022-02-04 20:00:14,보문골,창의행정 업무추진,4,"77,000",신용카드,시책
10,특교 담당 주무관,2022-02-07 11:46:03,메가엠지씨커피   성북,코로나19 특별조정 교부금 관련 간담회,4,"13,200",신용카드,시책
11,미래성북팀장,2022-02-07 12:19:56,투썸플레이스   성신여,공공시설 관리체계 구축 관련 업무관계자 간담회,3,"13,500",신용카드,시책
12,기획팀장,2022-02-07 19:33:09,황해옥,부구청장 영상회의 결과 업무협조,4,"56,000",신용카드,시책
13,미래성북팀장,2022-02-07 12:16:57,마늘과올리브,공공시설 관리체계 구축 관련 업무관계자 간담회,3,"56,000",신용카드,시책
14,기획팀장,2022-02-08 11:58:00,메가엠지씨커피   성북,오미크론 관련 영상회의 업무,3,"9,200",신용카드,시책
15,기획재정국장,2022-02-08 12:47:29,꽁상뜨레,카카오채널 등 비대면 업무 지원책 활성화 관련 협의,6,"27,500",신용카드,시책
16,편성 총괄 주무관,2022-02-08 12:06:14,카페온더플랜,대외재정 확보 관련 업무추진,6,"37,500",신용카드,시책
17,기획예산과장,2022-02-08 11:59:40,서도바지락칼국수,추경 예산 편성 관련 업무추진,6,"56,000",신용카드,시책
18,기획예산과장,2022-02-08 20:16:35,유황오리   해물아구찜,2030 중장기 발전계획 연구용역 관련 협의,5,"128,000",신용카드,시책
19,예산팀장,2022-02-08 19:17:55,더하녹（Ｔｈｅ   Ｈａ,국시비 주요사업 추진 관련 간담회,6,"180,000",신용카드,시책
20,동북4구 담당 주무관,2022-02-09 12:20:07,신의주찹쌀순대,동북4구 발전방향 모색을 위한 새로운 안건 발굴 업무협의,2,"17,000",신용카드,시책
21,신속집행 담당 주무관,2022-02-09 12:31:47,스타벅스   코리아,신속집행 추진 관련 간담회,6,"36,900",신용카드,시책
22,기획예산과장,2022-02-09 12:22:43,코다리양반,재난안전특별교부세 관련 간담회,5,"75,000",신용카드,시책
23,과제체계 담당 주무관,2022-02-09 19:53:50,통돼지두루치기,2022 미래성북과제 체계 운영 성과관리 관련 업무,6,"104,000",신용카드,시책
24,대외재정 담당 주무관,2022-02-10 12:20:36,다라온,국시비 주요사언 추진 관련 간담회,5,"20,000",신용카드,시책
25,기획예산과장,2022-02-10 20:06:03,원조복집,2022 미래성북과제 체계 운영 성과관리 관련 업무,4,"94,000",신용카드,시책
26,자치분권 담당 주무관,2022-02-10 19:33:41,마포왕소금구이,자치분권 2.0시대 홍보 관련 업무,5,"138,000",신용카드,시책
27,기획팀장,2022-02-11 12:06:01,만리동커피,전부개정 지방자치법 의거 새로운 형태의 협력제도 시도 관련 협의,5,"18,000",신용카드,시책
28,혁신경영지원팀장,2022-02-11 20:09:28,미우,소통행정 업무추진,4,"109,000",신용카드,시책
29,기획팀장,2022-02-11 12:04:27,녕화식당,전부개정 지방자치법 의거 새로운 형태의 협력제도 시도 관련 협의,4,"110,000",신용카드,시책
30,한예종 이전 담당 주무관,2022-02-14 12:02:34,구월,한예종 이전 대응 관련 관계자 협의,4,"5,000",신용카드,시책
31,한예종 이전 담당 주무관,2022-02-14 12:02:17,구월,한예종 이전 대응 관련 관계자 협의,4,"12,000",신용카드,시책
32,기획예산과장,2022-02-14 12:23:04,보문골,2030 중장기 발전계획 연구용역 관련 협의,3,"35,000",신용카드,시책
33,기획예산과장,2022-02-14 19:44:36,할머니순대국,2022 상반기 성과평가 관련 업무,4,"41,000",신용카드,시책
34,한예종 이전 담당 주무관,2022-02-14 11:58:05,전통평양만두,한예종 이전 대응 관련 관계자 협의,4,"47,000",신용카드,시책
35,기획팀징,2022-02-15 12:00:28,카페   위로．한모금,2022 상반기 성과평가 관련 업무,5,"12,200",신용카드,시책
36,기획팀장,2022-02-15 11:59:07,히스토리,2030 중장기발전계획 연구용역 연계 과제체계 수립 방안 논의,4,"97,000",신용카드,시책
37,보조금 담당 주무관,2022-02-16 13:50:45,돈카와치   성신여대역,보조금관리위원회 개최 관련 업무추진,4,"46,000",신용카드,시책
38,자치분권 담당 주무관,2022-02-16 20:49:27,카르페디엠,전부개정 지방자치법 특례제도 관련 업무협의,4,"60,600",신용카드,시책
39,기획재정국장,2022-02-16 20:10:30,최진사댁두부마을,2022 국 주요업무계획 체계 점검 등,6,"150,000",신용카드,시책
40,동북4구 담당 주무관,2022-02-17 11:50:11,카페   위로．한모금,신규 안건 발굴 관련 업무협의,4,"12,900",신용카드,시책
41,의회 담당 주무관,2022-02-18 11:16:34,이디야   고대개운점,제287회 성북구의회 임시회 관련 업무,3,"9,600",신용카드,시책
42,동북4구 담당 주무관,2022-02-18 12:31:07,성신초밥,코로나19 공동대응 관련 업무협의,3,"36,000",신용카드,시책
43,의회 담당 주무관,2022-02-18 11:14:16,동우정,제287회 성북구의회 임시회 관련 업무,3,"40,000",신용카드,시책
44,재정공시 담당 주무관,2022-02-21 11:59:02,카페   위로．한모금,예산기준 재정공시 관련 업무추진,4,"15,100",신용카드,시책
45,기획재정국장,2022-02-21 12:44:44,레인커피（ＬＡＮＥ,주요업무계획 추진사항 확인 및 개선 논의,4,"16,500",신용카드,시책
46,기획재정국장,2022-02-21 12:41:28,제주고깃집,주요업무계획 추진사항 확인 및 개선 논의,6,"48,000",신용카드,시책
47,예산팀장,2022-02-21 19:11:18,라라면가,제1차 추경 예산 편성 관련 간담회,4,"48,000",신용카드,시책
48,기획예산과장,2022-02-21 19:45:54,그집밥,우수과제 선정 관련 업무협의,6,"153,000",신용카드,시책
49,기획팀장,2022-02-22 09:39:36,웰컴카페,"외부평가, 공모 관련 응모 제고를 위한 업무 협의",5,"20,000",신용카드,시책
50,편성 총괄 주무관,2022-02-22 11:58:39,웰컴카페,대외재정 확보 관련 업무추진,6,"23,500",신용카드,시책
51,기획팀장,2022-02-22 11:54:53,본도시락   성신여대점,성과평가 결과 환류방식 논의,5,"53,300",신용카드,시책
52,기획재정국장,2022-02-22 21:03:50,비양도,공공시설 관리 시스템 구축 관련 업무 협의,6,"162,000",신용카드,시책
53,기획팀장,2022-02-23 12:34:11,소일,성과평가 체계 개선을 위한 업무협의,4,"14,500",신용카드,시책
54,정책 검토 담당 주무관,2022-02-23 12:40:24,두끼（성신여대점）,신규 정책 검토 관련 간담회,3,"26,700",신용카드,시책
55,예산팀장,2022-02-23 12:21:23,스타벅스   코리아,서울시 추경편성 관련 간담회,5,"27,900",신용카드,시책
56,기획예산과장,2022-02-23 21:38:30,멕시카나   월곡점,우수과제 선정 관련 업무협의,4,"30,000",신용카드,시책
57,신속집행 담당 주무관,2022-02-23 19:23:11,훗스테이크   성신여대,신속집행 추진 관련 업무,4,"58,300",신용카드,시책
58,기획예산과장,2022-02-23 20:11:04,주식회사   유성집,"코로나19 정책변경, 중대재해처벌법 시행 등에 따른 우리구 대응체계 점검",6,"180,000",신용카드,시책
59,동북4구 담당 주무관,2022-02-24 12:05:34,메가엠지씨커피   성북,신규 안건 발굴 및 검코 관련 협의,4,"10,400",신용카드,시책
60,정책 검토 담당 주무관,2022-02-24 12:31:54,달．달커피（ＤＡＬ．,신규 정책 검토 관련 간담회,5,"21,500",신용카드,시책
61,기금 담당 주무관,2022-02-24 19:16:17,돈카와치   성신여대역,기금 결산 관련 담당자 간담회,3,"31,000",신용카드,시책
62,기획예산과장,2022-02-24 12:24:31,원조한방삼계탕,"공,재단 지원 업무 추진체계 점검 및 개선사항 논의",3,"42,000",신용카드,시책
63,자치분권 담당 주무관,2022-02-24 21:40:42,코젤다크하우스성신여,불필요한 위원회 등 일제정비 관련 업무,6,"82,500",신용카드,시책
64,기획재정국장,2022-02-24 20:11:56,상관양꼬치,4차 산업 핵심기술의 행정영역 접목 가능분야 발굴,6,"172,000",신용카드,시책
65,기획재정국장,2022-02-25 11:15:49,이디야   고대개운점,임시회 업무계획 보고 결과 개선사항에 대한 업무협의,3,"3,200",신용카드,시책
66,기획재정국장,2022-02-25 11:13:39,이디야   고대개운점,임시회 업무계획 보고 결과 개선사항에 대한 업무협의,3,"6,400",신용카드,시책
67,공공시설 담당 주무관,2022-02-25 12:55:04,블랑제메종북악,공공시설 조성방향 관계자 협의,3,"9,000",신용카드,시책
68,혁신경영지원팀장,2022-02-25 12:00:37,강남부대찌개,창의행정 업무추진,2,"17,000",신용카드,시책
69,기획재정국장,2022-02-25 11:11:41,동우정,임시회 업무계획 보고 결과 개선사항에 대한 업무협의,3,"45,000",신용카드,시책
70,기획예산과장,2022-02-25 19:36:16,약주터,투자사업심사 관련 업무추진,3,"70,500",신용카드,시책
71,기획팀장,2022-02-25 12:30:47,성신초밥,부구청장 영상회의 주제 관련 부서 업무협의,5,"102,000",신용카드,시책
72,기획예산과장,2022-02-25 21:25:10,더하녹（Ｔｈｅ   Ｈａ,국시비 주요사업 추진관련 간담회,5,"129,000",신용카드,시책
73,과제체계 담당 주무관,2022-02-28 12:10:48,만리동커피,2022 부서별 조직과제 구축 업무,6,"18,500",신용카드,시책
74,투자심사 담당 주무관,2022-02-28 12:13:59,팔백집,투자사업심사 관련 업무추진,3,"30,000",신용카드,시책
75,미래성북팀장,2022-02-28 12:06:56,블랑제메종북악,공공시설 전산시스템 추진 관련 자문회의,5,"37,000",신용카드,시책
76,미래성북팀장,2022-02-28 12:05:44,블랑제메종북악,공공시설 전산시스템 추진 관련 자문회의,5,"41,000",신용카드,시책
77,미래성북팀장,2022-02-28 12:00:51,선동보리밥,공공시설 전산시스템 추진 관련 자문회의,5,"62,000",신용카드,시책
78,기획팀장,2022-02-28 12:06:23,녕화식당,2022 하반기 성과평가 관련 업무,5,"135,000",신용카드,시책
79,법제통계팀장,2022-02-03 12:16,카르페디엠,마을기록화 사업 업무 관련 협의,5,"16,200",제로페이,시책
80,통계 담당 주무관,2022-02-07 12:53,크림탑커피,주민기록단 운영 관련 업무추진,5,"57,000",제로페이,시책
81,통계 담당 주무관,2022-02-09 18:44,투고샐러드,주민기록단 운영 관련 업무추진,3,"15,800",제로페이,시책
82,법제통계팀장,2022-02-09 12:06,해송,마을기록화 사업 업무관련 협의,5,"65,000",제로페이,시책
83,통계 담당 주무관,2022-02-10 12:25,커피나무 성신여대점,주민기록단 운영 관련 업무추진,5,"38,100",제로페이,시책
84,법제통계팀장,2022-02-10 12:22,포앤시드니,마을기록화 사업 업무관련 협의,5,"67,000",제로페이,시책
85,법제통계팀장,2022-02-11 12:15,"카페 위로, 한모금",법률자문 관련 업무추진,4,"51,000",제로페이,시책
86,법제통계팀장,2022-02-11 12:14,낙지사랑,법률자문 관련 업무추진,4,"55,000",제로페이,시책
87,통계 담당 주무관,2022-02-15 12:05,치클스(CHICKLES),사업체조사 관련 업무추진,4,"35,200",제로페이,시책
88,법제 담당 주무관,2022-02-16 12:57,비나케이크,자치법규 정비 관련 업무 추진,2,"4,000",제로페이,시책
89,기획팀장,2022-02-16 12:28,소일,우수과제 선정 관련 업무협의,5,"26,500",제로페이,시책
90,기획예산과장,2022-02-16 12:27,비나케이크,자치법규 정비 관련 업무 추진,4,"35,300",제로페이,시책
91,기획예산과장,2022-02-16 12:18,고려한방삼계탕,자치법규 정비 관련 업무 추진,4,"73,000",제로페이,시책
92,법제통계팀장,2022-02-18 12:32,마늘과올리브,사업체조사 관련 업무추진,5,"60,000",제로페이,시책
93,기획재정국장,2022-02-23 20:11:28,충주집,재정확충을 위한 세입 사무 처리 직원 격려,4,"46,000",신용카드,기관
94,기획재정국장,2022-02-24 12:28:44,삼홍생고기전문점,공유재산 실태조사 관련 업무추진 직원 격려,4,"75,000",신용카드,기관
95,기획재정국장,2022-02-18,직원 경조사,소속 직원 경조사비,1,"50,000",현금,기관
,합계,,,,,"5,065,600",,
